;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
69;178873;Helder Salomão;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
70;178876;Célio Silveira;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
71;178889;Zé Carlos;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
72;178909;Hélio Leite;DEM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
73;178910;Joaquim Passarinho;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
74;178916;Daniel Coelho;CIDADANIA;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
75;178920;Ricardo Teobaldo;PODE;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1
76;178922;Tadeu Alencar;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
77;178924;Capitão Fábio Abreu;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
78;178925;Rejane Dias;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
79;178928;Christiane de Souza Yared;PL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
80;178931;Luciano Ducci;PSB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
81;178935;Rossoni;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
82;178939;Clarissa Garotinho;PROS;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
83;178953;Expedito Netto;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
84;178962;Carlos Gomes;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
85;178964;Heitor Schuch;PSB;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0
86;178966;Geovania de Sá;PSDB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
87;178972;Alex Manente;CIDADANIA;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1
88;178977;Eduardo Cury;PSDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
89;178981;Herculano Passos;MDB;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
90;178983;Marcio Alvino;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
91;178985;Miguel Lombardi;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
92;178987;Orlando Silva;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1
93;178989;Renata Abreu;PODE;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2
94;178990;Samuel Moreira;PSDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2
95;178992;Vitor Lippi;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
96;178996;Giovani Feltes;MDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
97;188097;Merlong Solano;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
98;193726;Paulo Eduardo Martins;PSC;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
99;197438;Tito;AVANTE;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
100;204351;Dr. Luiz Ovando;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
