;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
55;160639;Professora Dorinha Seabra Rezende;DEM;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
56;160640;Eros Biondini;PROS;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
57;160651;Rogério Peninha Mendonça;MDB;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0
58;160673;Giovani Cherini;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
59;161550;Emidinho Madeira;PSB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
60;162332;Luiz Nishimori;PL;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
61;164360;Carmen Zanotto;CIDADANIA;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
62;171617;Paulão;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
63;171623;Fabio Reis;MDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
64;178836;Alan Rick;DEM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
65;178844;Pedro Vilela;PSDB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
66;178861;Ronaldo Carletto;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
67;178862;Tia Eron;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
68;178866;Luizianne Lins;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
69;178873;Helder Salomão;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
70;178876;Célio Silveira;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
71;178889;Zé Carlos;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
72;178909;Hélio Leite;DEM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
73;178910;Joaquim Passarinho;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
74;178916;Daniel Coelho;CIDADANIA;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
75;178920;Ricardo Teobaldo;PODE;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0
76;178922;Tadeu Alencar;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
77;178924;Capitão Fábio Abreu;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
78;178925;Rejane Dias;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
79;178928;Christiane de Souza Yared;PL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
80;178931;Luciano Ducci;PSB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
81;178935;Rossoni;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
82;178939;Clarissa Garotinho;PROS;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
83;178953;Expedito Netto;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
84;178962;Carlos Gomes;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
85;178964;Heitor Schuch;PSB;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
86;178966;Geovania de Sá;PSDB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
87;178972;Alex Manente;CIDADANIA;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0
88;178977;Eduardo Cury;PSDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
89;178981;Herculano Passos;MDB;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
90;178983;Marcio Alvino;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
91;178985;Miguel Lombardi;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
92;178987;Orlando Silva;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0
93;178989;Renata Abreu;PODE;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
94;178990;Samuel Moreira;PSDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1
95;178992;Vitor Lippi;PSDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
96;178996;Giovani Feltes;MDB;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
97;188097;Merlong Solano;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
98;193726;Paulo Eduardo Martins;PSC;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
